gauge_id,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban
10002,0.0791,0.3681,0.4704,0.0705,0.0106
10003,0.057,0.5141,0.4127,0.0102,0.0054
1001,0.1088,0.0213,0.4477,0.3878,0.0014
101002,0.0632,0.5003,0.4129,0.0044,0.0143
101005,0.0493,0.4492,0.4647,0.0055,0.031
102001,0.0102,0.0722,0.9137,0.0006,0.0027
106001,0.0312,0.0,0.0068,0.9144,0.0
107001,0.0,0.0042,0.2493,0.7461,0.0004
11001,0.1873,0.2401,0.3361,0.2244,0.0106
11003,0.1853,0.0692,0.2661,0.4777,0.0011
11004,0.1568,0.3566,0.4258,0.0557,0.0048
12001,0.132,0.0241,0.1148,0.7197,0.0029
12002,0.1696,0.0417,0.1419,0.6359,0.0051
12005,0.0682,0.0004,0.0479,0.8611,0.0018
12006,0.018,0.0001,0.1055,0.8759,0.0003
12007,0.0205,0.0,0.0384,0.9397,0.0007
12008,0.1807,0.0279,0.1267,0.6622,0.0022
12009,0.0046,0.0008,0.0643,0.9298,0.0005
13001,0.1437,0.4393,0.3312,0.0702,0.0152
13004,0.1486,0.0173,0.2451,0.5883,0.0007
13005,0.077,0.695,0.2016,0.0035,0.016
13007,0.0783,0.224,0.2277,0.4587,0.0092
13008,0.106,0.2052,0.2748,0.4073,0.0058
14001,0.1114,0.429,0.411,0.0266,0.0184
14002,0.0517,0.4512,0.3335,0.0461,0.1131
14005,0.0796,0.5119,0.3733,0.0232,0.0109
15006,0.1454,0.0658,0.2806,0.4761,0.0044
15007,0.1433,0.0069,0.3822,0.4317,0.0016
15010,0.1537,0.0968,0.3777,0.3574,0.0037
15011,0.0685,0.0015,0.3373,0.5712,0.0002
15012,0.1335,0.0015,0.1688,0.6533,0.002
15013,0.0792,0.025,0.383,0.5104,0.0016
15014,0.0824,0.0004,0.3027,0.6132,0.0
15016,0.131,0.004,0.4521,0.3621,0.0015
15021,0.1488,0.1642,0.3878,0.2509,0.0113
15023,0.224,0.0025,0.2654,0.4949,0.0003
15024,0.1704,0.0016,0.5032,0.3175,0.0007
15025,0.1183,0.0071,0.3176,0.5537,0.0009
15030,0.0873,0.5232,0.2846,0.0721,0.0303
15039,0.0072,0.0004,0.0499,0.9398,0.0
16001,0.1277,0.0867,0.3999,0.3533,0.0074
16003,0.0274,0.0064,0.4192,0.5468,0.0001
16004,0.1338,0.1299,0.4133,0.2934,0.0107
17001,0.2717,0.0389,0.3841,0.2367,0.0233
17003,0.1791,0.0682,0.4912,0.0803,0.1794
17004,0.148,0.2738,0.4221,0.046,0.0914
17005,0.115,0.1193,0.5783,0.1111,0.0659
17015,0.1999,0.1755,0.5946,0.0251,0.0041
17018,0.0202,0.6448,0.3229,0.0054,0.0056
18001,0.1272,0.0629,0.4458,0.3558,0.005
18002,0.1265,0.0518,0.6901,0.0969,0.0268
18003,0.2297,0.0057,0.4337,0.2774,0.003
18008,0.2811,0.002,0.3994,0.2905,0.0004
18010,0.3292,0.1038,0.3632,0.1814,0.0054
18011,0.2618,0.0748,0.401,0.2256,0.0064
18014,0.2774,0.0888,0.3945,0.1845,0.0363
18017,0.0606,0.0,0.249,0.6904,0.0
18018,0.3318,0.0,0.245,0.4201,0.0
19001,0.1917,0.2672,0.2697,0.1269,0.1389
19006,0.1039,0.1755,0.2266,0.2815,0.1967
19010,0.152,0.0394,0.3762,0.1037,0.3224
19017,0.0874,0.4537,0.2159,0.0302,0.2113
19020,0.1893,0.0443,0.4955,0.1932,0.0772
20002,0.0275,0.8417,0.1046,0.0175,0.0081
20003,0.1439,0.5327,0.2562,0.0572,0.0099
20007,0.1617,0.3983,0.2703,0.1612,0.0057
2001,0.0577,0.0001,0.3137,0.5959,0.0002
2002,0.0564,0.0019,0.2471,0.6809,0.0001
21003,0.1822,0.0694,0.5269,0.2113,0.0055
21006,0.2394,0.053,0.4901,0.2057,0.0052
21008,0.2673,0.219,0.4313,0.0732,0.007
21009,0.1852,0.2221,0.4401,0.1413,0.0071
21011,0.1556,0.0135,0.5403,0.2677,0.0002
21012,0.3569,0.0637,0.5093,0.056,0.0129
21013,0.1116,0.0651,0.6225,0.198,0.0027
21015,0.0955,0.1712,0.4785,0.2528,0.0018
21016,0.127,0.5576,0.2642,0.0436,0.0074
21017,0.3226,0.0023,0.4828,0.192,0.0003
21018,0.1803,0.101,0.5475,0.1633,0.004
21022,0.1092,0.2985,0.2978,0.2878,0.0043
21023,0.046,0.8418,0.0981,0.0077,0.0062
21024,0.4563,0.1463,0.3192,0.0691,0.0088
21026,0.8775,0.0014,0.0579,0.061,0.0011
21027,0.0973,0.3377,0.3607,0.1949,0.0088
22001,0.1349,0.1315,0.4832,0.2419,0.0072
22006,0.0645,0.4427,0.4428,0.0145,0.0343
22007,0.1991,0.1855,0.5232,0.0854,0.0029
22009,0.1317,0.0688,0.4582,0.3356,0.0047
23001,0.2137,0.0374,0.425,0.3064,0.0082
23004,0.0778,0.0062,0.4852,0.4217,0.0064
23006,0.0444,0.0026,0.3782,0.571,0.0024
23007,0.1286,0.1097,0.3837,0.3239,0.0385
23008,0.1908,0.0047,0.435,0.3643,0.0022
23011,0.3369,0.0004,0.0506,0.6103,0.0017
23016,0.0566,0.2745,0.1887,0.0007,0.4776
24001,0.0825,0.119,0.4576,0.3041,0.0338
24003,0.028,0.003,0.4023,0.5609,0.0031
24004,0.2794,0.0165,0.2729,0.4299,0.0009
24005,0.1097,0.2691,0.5522,0.0157,0.0528
25001,0.036,0.1292,0.3356,0.4817,0.0082
25003,0.0,0.0,0.0004,0.9987,0.0009
25006,0.0049,0.0026,0.2283,0.7624,0.0018
25012,0.0029,0.0,0.3777,0.6194,0.0
25020,0.0451,0.5429,0.3105,0.0089,0.0896
25021,0.0486,0.5395,0.3134,0.0153,0.0778
25029,0.1089,0.3565,0.4271,0.0883,0.0189
26003,0.0146,0.8673,0.1078,0.0024,0.0079
26005,0.0207,0.8715,0.1042,0.0012,0.0022
26006,0.0236,0.8808,0.0798,0.0,0.0147
26008,0.0828,0.7656,0.1274,0.0046,0.0195
26009,0.031,0.8421,0.1115,0.0006,0.0146
27001,0.0708,0.176,0.4631,0.2277,0.0554
27002,0.0699,0.0542,0.5215,0.3134,0.0317
27003,0.0739,0.1129,0.4337,0.1469,0.2218
